agent: (116.0, 108.0); block-c: (125.0, 125.0); in hand: nothing; action: left
agent: (116.0, 107.0); block-c: (125.0, 125.0); in hand: nothing; action: up
agent: (115.0, 107.0); block-c: (125.0, 125.0); in hand: nothing; action: up
agent: (114.0, 107.0); block-c: (125.0, 125.0); in hand: nothing; action: up
agent: (113.0, 107.0); block-c: (125.0, 125.0); in hand: nothing; action: left
agent: (113.0, 106.0); block-c: (125.0, 125.0); in hand: nothing; action: up
agent: (112.0, 106.0); block-c: (125.0, 125.0); in hand: nothing; action: up
agent: (111.0, 106.0); block-c: (125.0, 125.0); in hand: nothing; action: up
agent: (110.0, 106.0); block-c: (125.0, 125.0); in hand: nothing; action: up
agent: (109.0, 106.0); block-c: (125.0, 125.0); in hand: nothing; action: left
agent: (109.0, 105.0); block-c: (125.0, 125.0); in hand: nothing; action: left
agent: (109.0, 104.0); block-c: (125.0, 125.0); in hand: nothing; action: up
agent: (108.0, 104.0); block-c: (125.0, 125.0); in hand: nothing; action: up
agent: (107.0, 104.0); block-c: (125.0, 125.0); in hand: nothing; action: up
agent: (106.0, 104.0); block-c: (125.0, 125.0); in hand: nothing; action: left
agent: (106.0, 103.0); block-c: (125.0, 125.0); in hand: nothing; action: left
agent: (106.0, 102.0); block-c: (125.0, 125.0); in hand: nothing; action: up
agent: (105.0, 102.0); block-c: (125.0, 125.0); in hand: nothing; action: up
agent: (104.0, 102.0); block-c: (125.0, 125.0); in hand: nothing; action: left
agent: (104.0, 101.0); block-c: (125.0, 125.0); in hand: nothing; action: up
agent: (103.0, 101.0); block-c: (125.0, 125.0); in hand: nothing; action: up
agent: (102.0, 101.0); block-c: (125.0, 125.0); in hand: nothing; action: left
agent: (102.0, 100.0); block-c: (125.0, 125.0); in hand: nothing; action: up
agent: (101.0, 100.0); block-c: (125.0, 125.0); in hand: nothing; action: left
agent: (101.0, 99.0); block-c: (125.0, 125.0); in hand: nothing; action: up
agent: (100.0, 99.0); block-c: (125.0, 125.0); in hand: nothing; action: up
agent: (99.0, 99.0); block-c: (125.0, 125.0); in hand: nothing; action: up
agent: (98.0, 99.0); block-c: (125.0, 125.0); in hand: nothing; action: left
agent: (98.0, 98.0); block-c: (125.0, 125.0); in hand: nothing; action: up
agent: (97.0, 98.0); block-c: (125.0, 125.0); in hand: nothing; action: left
