agent: (111.0, 116.0); block-b: (111.0, 116.0); in hand: block_1.0; action: right
agent: (111.0, 117.0); block-b: (111.0, 117.0); in hand: block_1.0; action: down
agent: (112.0, 117.0); block-b: (112.0, 117.0); in hand: block_1.0; action: down
agent: (113.0, 117.0); block-b: (113.0, 117.0); in hand: block_1.0; action: right
agent: (113.0, 118.0); block-b: (113.0, 118.0); in hand: block_1.0; action: right
agent: (113.0, 119.0); block-b: (113.0, 119.0); in hand: block_1.0; action: right
agent: (113.0, 120.0); block-b: (113.0, 120.0); in hand: block_1.0; action: down
agent: (114.0, 120.0); block-b: (114.0, 120.0); in hand: block_1.0; action: down
agent: (115.0, 120.0); block-b: (115.0, 120.0); in hand: block_1.0; action: down
agent: (116.0, 120.0); block-b: (116.0, 120.0); in hand: block_1.0; action: right
agent: (116.0, 121.0); block-b: (116.0, 121.0); in hand: block_1.0; action: down
agent: (117.0, 121.0); block-b: (117.0, 121.0); in hand: block_1.0; action: right
agent: (117.0, 122.0); block-b: (117.0, 122.0); in hand: block_1.0; action: down
agent: (118.0, 122.0); block-b: (118.0, 122.0); in hand: block_1.0; action: down
agent: (119.0, 122.0); block-b: (119.0, 122.0); in hand: block_1.0; action: down
agent: (120.0, 122.0); block-b: (120.0, 122.0); in hand: block_1.0; action: down
agent: (121.0, 122.0); block-b: (121.0, 122.0); in hand: block_1.0; action: down
agent: (122.0, 122.0); block-b: (122.0, 122.0); in hand: block_1.0; action: right
agent: (122.0, 123.0); block-b: (122.0, 123.0); in hand: block_1.0; action: right
agent: (122.0, 124.0); block-b: (122.0, 124.0); in hand: block_1.0; action: down
agent: (123.0, 124.0); block-b: (123.0, 124.0); in hand: block_1.0; action: down
agent: (124.0, 124.0); block-b: (124.0, 124.0); in hand: block_1.0; action: put down
agent: (124.0, 124.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (124.0, 123.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (124.0, 122.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (124.0, 121.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (124.0, 120.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (124.0, 119.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (123.0, 119.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (123.0, 118.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (123.0, 117.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (123.0, 116.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (123.0, 115.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (122.0, 115.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (122.0, 114.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (122.0, 113.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (122.0, 112.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (122.0, 111.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (121.0, 111.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (121.0, 110.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (121.0, 109.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (120.0, 109.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (119.0, 109.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (118.0, 109.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (117.0, 109.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (116.0, 109.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (116.0, 108.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (116.0, 107.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (115.0, 107.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (114.0, 107.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (113.0, 107.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (113.0, 106.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (112.0, 106.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (111.0, 106.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (110.0, 106.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (109.0, 106.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (109.0, 105.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (109.0, 104.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (108.0, 104.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (107.0, 104.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (106.0, 104.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (106.0, 103.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (106.0, 102.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (105.0, 102.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (104.0, 102.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (104.0, 101.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (103.0, 101.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (102.0, 101.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (102.0, 100.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (101.0, 100.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (101.0, 99.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (100.0, 99.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (99.0, 99.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (98.0, 99.0); block-b: (125.0, 125.0); in hand: nothing; action: left
agent: (98.0, 98.0); block-b: (125.0, 125.0); in hand: nothing; action: up
agent: (97.0, 98.0); block-b: (125.0, 125.0); in hand: nothing; action: left
