agent: (69.0, 69.0); in hand: nothing; action: down
agent: (70.0, 69.0); in hand: nothing; action: down
agent: (71.0, 69.0); in hand: nothing; action: down
agent: (72.0, 69.0); in hand: nothing; action: right
agent: (72.0, 70.0); in hand: nothing; action: down
agent: (73.0, 70.0); in hand: nothing; action: down
agent: (74.0, 70.0); in hand: nothing; action: down
agent: (75.0, 70.0); in hand: nothing; action: right
agent: (75.0, 71.0); in hand: nothing; action: right
agent: (75.0, 72.0); in hand: nothing; action: right
agent: (75.0, 73.0); in hand: nothing; action: right
agent: (75.0, 74.0); in hand: nothing; action: down
agent: (76.0, 74.0); in hand: nothing; action: down
agent: (77.0, 74.0); in hand: nothing; action: down
agent: (78.0, 74.0); in hand: nothing; action: down
agent: (79.0, 74.0); in hand: nothing; action: down
agent: (80.0, 74.0); in hand: nothing; action: right
agent: (80.0, 75.0); in hand: nothing; action: down
agent: (81.0, 75.0); in hand: nothing; action: down
agent: (82.0, 75.0); in hand: nothing; action: right
agent: (82.0, 76.0); in hand: nothing; action: down
agent: (83.0, 76.0); in hand: nothing; action: down
agent: (84.0, 76.0); in hand: nothing; action: down
agent: (85.0, 76.0); in hand: nothing; action: down
agent: (86.0, 76.0); in hand: nothing; action: right
agent: (86.0, 77.0); in hand: nothing; action: down
agent: (87.0, 77.0); in hand: nothing; action: right
agent: (87.0, 78.0); in hand: nothing; action: right
agent: (87.0, 79.0); in hand: nothing; action: right
agent: (87.0, 80.0); in hand: nothing; action: down
agent: (88.0, 80.0); in hand: nothing; action: down
agent: (89.0, 80.0); in hand: nothing; action: down
agent: (90.0, 80.0); in hand: nothing; action: down
agent: (91.0, 80.0); in hand: nothing; action: right
agent: (91.0, 81.0); in hand: nothing; action: down
agent: (92.0, 81.0); in hand: nothing; action: right
agent: (92.0, 82.0); in hand: nothing; action: right
agent: (92.0, 83.0); in hand: nothing; action: down
agent: (93.0, 83.0); in hand: nothing; action: right
agent: (93.0, 84.0); in hand: nothing; action: right
agent: (93.0, 85.0); in hand: nothing; action: right
agent: (93.0, 86.0); in hand: nothing; action: right
agent: (93.0, 87.0); in hand: nothing; action: right
agent: (93.0, 88.0); in hand: nothing; action: right
agent: (93.0, 89.0); in hand: nothing; action: right
agent: (93.0, 90.0); in hand: nothing; action: right
agent: (93.0, 91.0); in hand: nothing; action: down
agent: (94.0, 91.0); in hand: nothing; action: right
agent: (94.0, 92.0); in hand: nothing; action: right
agent: (94.0, 93.0); in hand: nothing; action: right
agent: (94.0, 94.0); in hand: nothing; action: down
agent: (95.0, 94.0); in hand: nothing; action: down
agent: (96.0, 94.0); in hand: nothing; action: right
agent: (96.0, 95.0); in hand: nothing; action: right
agent: (96.0, 96.0); in hand: nothing; action: down
agent: (97.0, 96.0); in hand: nothing; action: right
